ACT_FLOW_ITEM_DATA|新增用血申请单主表
DIC_OPERATION_LEVEL_DICT|新增手术等级审核字典
DIC_OPERATION_ROOM_DICT|新增手术记录表
DIC_ORG_DICT|新增门诊结账主表
DIC_OUTP_CHECK_ELEC_CONFIG|新增门诊检查申请单信息配置字典
DIC_OUTP_COMMON_ITEM_CONFIG|新增门诊处置常用项目配置表
DIC_PAY_MODE_DICT|新增住院结账预交金支付明细表
DIC_PI_ADJUST_PRICE_BILL_DETAIL_LOG|新增价表调价单据主表变更记录表
DIC_PI_ADJUST_PRICE_BILL_LOG|新增价表调价单据主表变更记录表
DIC_PI_ADJUST_PRICE_DETAIL|新增价表调价申请细表
DIC_PI_ADJUST_PRICE_MASTER|新增价表调价申请主表
DIC_PRES_FREQ_DETAIL_DICT|新增频次字典细项表
DIC_PRES_FREQ_DICT|搜索条件：状态为新开或已缴费并且在有效期内 or 已缴费并且已过期的
DIC_PRICE_ITEM_DICT|获取病人用血直勉报销主表报销申请单号
DIC_PRICE_ITEM_DICT_DETAIL|新增诊疗与收费项目对照表
DIC_PROCESS_METHOD_DICT|查询中药煎药方式字典
DIC_PROFESSION_DICT|通过病人id获取病人基本信息
DIC_PROJECT_BASIC_DICT|通过病人id获取病人基本信息
DIC_PROVINCE_DICT|DicProvinceDict对象
DIC_RATE_GUATANTEE_TYPE_DICT|新增费别担保配置字典
DIC_RATE_TYPE_DICT|新增就诊卡信息记录表
DIC_REGISTER_CLASS_DICT|新增挂号类别字典
DIC_REGISTER_CLASS_NETWORK_IP_DICT|新增费别字典
DIC_ROOM_CONTRAST_CLINIC_DICT|更新床位字典
DIC_SAMPLE_DICT|获取诊疗项目关联项目
DIC_SKIN_TEST_ITEM_DICT|单据查询语法
DIC_SKIN_TEST_RESULT|翻译字段
DIC_SUBSIDIARY_ACCOUNT_PRIV_DI|获取用户已分配角色
DIC_SYS_PARAM|门诊翻译
DIC_SYS_PARAM_CUSTOM|门诊翻译
DIC_TCM_DIAG_DICT|门诊获取药品数据
DIC_TCM_DIAG_TYPE_DICT|新增中医诊断字典类别
DIC_TEMPLATE_RELATE_DICT|新增模板关联字典
DIC_TRIAGE_TABLE_DICT|新增分诊台字典
DIC_VIRTUAL_WARD_DICT|新增虚拟病房字典
DIC_WORK_ARRANGE_DICT|获取医生挂号类别
DICT_USAGE_DRUG_DICT|新增科室用药方法与材料对照表
DM_DIABETES_SYMP|批量新增 oracle
DM_SMI_DIAGNOSE|新增重性精神疾病患者管理信息_确诊表
DM_SMI_DRUG|新增重性精神疾病患者管理信息_用药表
DM_SMI_EFFECT|新增重性精神疾病患者管理信息_影响表
DM_SMI_SYMP|新增重性精神疾病患者管理信息_症状表
DRU_ADJUST_PRICE_DETAIL|新增药品调价细表
DRU_ADJUST_PRICE_LOG|新增药品调价细表
DRU_ADJUST_PRICE_MASTER|查询药品调价细表列表
DRU_ALLERGY_FORBIDDEN_CONFIG|新增过敏药品禁用对照表
DRU_ANESTHESIA_RECYCLE_RECORD|翻译字段
DRU_APPLY_RELATION|新增溶剂汇总发药主表
DRU_APPLY_RELATION_INP_LAY_DRU|新增溶剂汇总发药主表
